title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,alert_new,magnitude_bins
"M 6.5 - 81 km SSW of Katabu, Indonesia",6.5,2/19/05 0:04,0,7,green,0,650,us,371,0,31.8,mwb,10,-5.562,122.129,"Katabu, Indonesia",Asia,Indonesia,2005,2,Yellow,7-Jun
"M 6.5 - Pulau-Pulau Talaud, Indonesia",6.5,2/15/05 14:42,3,5,green,0,652,us,286,0,47.3,mwc,39.7,4.756,126.421,"Pulau-Pulau Talaud, Indonesia",Asia,Indonesia,2005,2,Yellow,7-Jun
"M 6.7 - 52 km SW of Sola, Vanuatu",6.7,2/8/05 14:48,0,4,green,0,691,us,457,0,30.2,mwb,206.3,-14.252,167.259,"Sola, Vanuatu",Oceania,Vanuatu,2005,2,Yellow,7-Jun
"M 7.1 - 138 km SW of Palimbang, Philippines",7.1,2/5/05 12:23,7,3,green,0,782,us,640,0,26.4,mwc,525,5.293,123.337,"Palimbang, Philippines",Asia,Philippines,2005,2,Orange,8-Jul
"M 6.6 - 161 km SE of Katsuura, Japan",6.6,1/19/05 6:11,6,4,green,0,676,us,225,0,78.5,mwc,27.8,34.064,141.491,"Katsuura, Japan",Asia,Japan,2005,1,Yellow,7-Jun
"M 6.6 - Nicobar Islands, India region",6.6,12/26/04 9:20,0,5,green,0,670,us,353,0,31.9,mwc,16.1,8.879,92.375,"Nicobar Islands, India region",Asia,India,2004,12,Yellow,7-Jun
"M 7.2 - 284 km WNW of Sabang, Indonesia",7.2,12/26/04 4:21,5,6,green,0,802,us,385,0,27.9,mwc,39.2,6.91,92.958,"Sabang, Indonesia",Asia,Indonesia,2004,12,Orange,8-Jul
M 9.1 - 2004 Sumatra - Andaman Islands Earthquake,9.1,12/26/04 0:58,0,8,green,1,1274,official,601,0,22,mw,30,3.295,95.982,2004 Sumatra - Andaman Islands Earthquake,Asia,Indonesia,2004,12,Red,9+
M 8.1 - north of Macquarie Island,8.1,12/23/04 14:59,0,5,green,0,1009,us,331,0,59.3,mwc,10,-49.312,161.345,Macquarie Island,Oceania,Australia,2004,12,Red,9-Aug
"M 6.8 - 36 km S of George Town, Cayman Islands",6.8,12/14/04 23:20,5,6,green,0,858,us,639,0,21.8,mwb,10,18.958,-81.409,"George Town, Cayman Islands",North America,British Overseas Territory,2004,12,Yellow,7-Jun
"M 6.8 - 54 km SSW of Nemuro, Japan",6.8,12/6/04 14:15,4,7,green,0,724,us,759,0,23.6,mwb,35,42.9,145.228,"Nemuro, Japan",Asia,Japan,2004,12,Yellow,7-Jun
"M 7.0 - 51 km SW of Nemuro, Japan",7,11/28/04 18:32,4,7,green,0,771,us,929,0,23.9,mwb,39,43.006,145.119,"Nemuro, Japan",Asia,Japan,2004,11,Orange,8-Jul
"M 7.1 - 29 km SSW of Nabire, Indonesia",7.1,11/26/04 2:25,0,7,green,0,776,us,439,0,28.8,mwc,10,-3.609,135.404,"Nabire, Indonesia",Asia,Indonesia,2004,11,Orange,8-Jul
"M 7.1 - 255 km W of Riverton, New Zealand",7.1,11/22/04 20:26,5,5,green,0,782,us,585,0,14.7,mwc,10,-46.676,164.721,"Riverton, New Zealand",Oceania,New Zealand,2004,11,Orange,8-Jul
"M 7.2 - 32 km SSW of Pizarro, Colombia",7.2,11/15/04 9:06,8,8,yellow,0,820,us,708,0,50.2,mwb,15,4.695,-77.508,"Pizarro, Colombia",South America,Colombia,2004,11,Orange,8-Jul
"M 7.5 - 63 km NW of Maubara, Timor Leste",7.5,11/11/04 21:26,5,7,green,0,870,us,301,0,33.8,mwc,10,-8.152,124.868,"Maubara, Timor Leste",Asia,Indonesia,2004,11,Orange,8-Jul
"M 6.7 - 80 km SSE of Kirakira, Solomon Islands",6.7,11/11/04 17:34,0,6,green,0,691,us,233,0,21.5,mwb,10,-11.128,162.208,"Kirakira, Solomon Islands",Oceania,Solomon Islands,2004,11,Yellow,7-Jun
"M 6.7 - 189 km SW of Port McNeill, Canada",6.7,11/2/04 10:02,7,4,green,0,703,us,459,0,37.3,mwb,10,49.277,-128.772,"Port McNeill, Canada",North America,Canada,2004,11,Yellow,7-Jun
"M 6.6 - 8 km SSW of Ojiya, Japan",6.6,10/23/04 8:56,0,8,green,0,670,us,782,0,37,mwc,16,37.226,138.779,"Ojiya, Japan",Asia,Japan,2004,10,Yellow,7-Jun
"M 6.7 - 31 km WNW of Yonakuni, Japan",6.7,10/15/04 4:08,5,6,green,0,705,us,698,0,24.7,mwb,94,24.53,122.694,"Yonakuni, Japan",Asia,Japan,2004,10,Yellow,7-Jun
"M 7.0 - 43 km SSW of Masachapa, Nicaragua",7,10/9/04 21:26,0,6,green,0,754,us,441,0,32.2,mwc,35,11.422,-86.665,"Masachapa, Nicaragua",North America,Nicaragua,2004,10,Orange,8-Jul
"M 6.5 - 9 km W of Talisay, Philippines",6.5,10/8/04 14:36,5,5,green,0,665,us,526,0,18.3,mwb,105,13.925,120.534,"Talisay, Philippines",Asia,Philippines,2004,10,Yellow,7-Jun
"M 6.8 - 60 km SSE of Kirakira, Solomon Islands",6.8,10/8/04 8:27,0,6,green,0,711,us,545,0,15.7,mwb,36,-10.951,162.161,"Kirakira, Solomon Islands",Oceania,Solomon Islands,2004,10,Yellow,7-Jun
"M 6.6 - 129 km ESE of Shing?, Japan",6.6,9/6/04 23:29,0,4,green,0,670,us,478,0,29.8,mwc,10,33.205,137.227,"Shing?, Japan",Asia,Japan,2004,9,Yellow,7-Jun
"M 7.4 - 118 km ESE of Shing?, Japan",7.4,9/5/04 14:57,0,5,green,0,842,us,594,0,27.5,mwb,10,33.184,137.071,"Shing?, Japan",Asia,Japan,2004,9,Orange,8-Jul
"M 7.2 - 94 km SE of Shing?, Japan",7.2,9/5/04 10:07,0,5,green,0,798,us,643,0,28.4,mwc,14,33.07,136.618,"Shing?, Japan",Asia,Japan,2004,9,Orange,8-Jul
"M 6.5 - 67 km ESE of Teno, Chile",6.5,8/28/04 13:41,0,7,green,0,650,us,349,0,30.1,mwb,5,-35.173,-70.525,"Teno, Chile",South America,Chile,2004,8,Yellow,7-Jun
"M 6.5 - 117 km WNW of Manokwari, Indonesia",6.5,7/28/04 3:56,0,7,green,0,650,us,305,0,39,mwc,13.4,-0.443,133.091,"Manokwari, Indonesia",Asia,Indonesia,2004,7,Yellow,7-Jun
"M 6.9 - 24 km ENE of Atlasovo, Russia",6.9,6/10/04 15:19,0,5,green,0,732,us,798,0,31.2,mwb,188.6,55.682,160.003,"Atlasovo, Russia",Europe,Russia,2004,6,Yellow,7-Jun
"M 6.6 - 11 km N of Cañete, Chile",6.6,5/3/04 4:36,0,7,green,0,670,us,282,0,46.9,mwb,21,-37.695,-73.406,"Cañete, Chile",South America,Chile,2004,5,Yellow,7-Jun
"M 6.7 - 105 km WNW of Naisano Dua, Indonesia",6.7,4/23/04 1:50,0,5,green,0,691,us,386,0,27.6,mwb,65.8,-9.362,122.839,"Naisano Dua, Indonesia",Asia,Indonesia,2004,4,Yellow,7-Jun
"M 6.5 - 86 km NNW of Sola, Vanuatu",6.5,4/9/04 15:23,0,4,green,0,650,us,424,0,29.9,mwb,228.4,-13.174,167.198,"Sola, Vanuatu",Oceania,Vanuatu,2004,4,Yellow,7-Jun
M 6.6 - Afghanistan-Tajikistan-Pakistan region,6.6,4/5/04 21:24,0,4,green,0,670,us,728,0,18.3,mwb,187.1,36.512,71.029,Afghanistan-Tajikistan-Pakistan region,Asia,Afghanistan,2004,4,Yellow,7-Jun
"M 6.7 - 38 km SSW of Nabire, Indonesia",6.7,2/8/04 8:58,0,7,green,0,691,us,256,0,33.3,mwc,25.7,-3.665,135.339,"Nabire, Indonesia",Asia,Indonesia,2004,2,Yellow,7-Jun
"M 7.3 - Near the south coast of Papua, Indonesia",7.3,2/7/04 2:42,0,7,green,0,820,us,390,0,23,mwb,10,-4.003,135.023,"Papua, Indonesia",Asia,Indonesia,2004,2,Orange,8-Jul
"M 7.0 - 28 km S of Nabire, Indonesia",7,2/5/04 21:05,0,7,green,0,754,us,367,0,33,mwc,16.6,-3.615,135.538,"Nabire, Indonesia",Asia,Indonesia,2004,2,Orange,8-Jul
